NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N,HasSafetyRec,ReportType,OriginalPublishDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,DocketUrl,DocketPublishDate
DCA24LA051,ACC,193561,2023-12-19T19:30:00Z,St. Louis,Missouri,United States,,N8514F,FALSE,DirectorBrief,2024-03-12T04:00:00Z,None,0,0,0,A bird strike during climbout.,,38.747222,-90.361389,BOEING,737,AIR,,,FALSE,2,SCHD,,121,Substantial,VMC,SOUTHWEST AIRLINES CO,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193561,3/12/2024 18:00
DCA24LA034,INC,193459,2023-11-30T08:14:00Z,Kahului,Hawaii,United States,,N494HA,FALSE,DirectorBrief,,Minor,0,0,1,,,20.899501,-156.42973,BOEING,717-200,AIR,OGG,KAHULUI,FALSE,2,SCHD,,121,Minor,VMC,Hawaiian Airlines,In work,FALSE,,
ENG24FA003,INC,193272,2023-10-18T17:15:00Z,Memphis,Tennessee,United States,,N287FE,FALSE,DirectorBrief,,,0,0,0,,,35.040031,-89.981873,BOEING,767,AIR,,,FALSE,,NSCH,,121,Minor,,FEDERAL EXPRESS CORP,In work,FALSE,,
DCA24FA002,ACC,193196,2023-10-05T00:47:00Z,Chattanooga,Tennessee,United States,,N977FD,FALSE,DirectorBrief,,None,0,0,0,,,35.035301,-85.203796,BOEING,757-236,AIR,CHA,Lovell Field Airport,FALSE,2,NSCH,,121,Substantial,,FEDERAL EXPRESS CORP,In work,FALSE,,
DCA23LA468,ACC,193204,2023-09-30T16:00:00Z,Denver,Colorado,United States,,N37560,FALSE,DirectorBrief,,None,0,0,0,,,39.849312,-104.67382,BOEING,737-9,AIR,KDEN,Denver International,FALSE,2,SCHD,,121,Substantial,,UNITED AIRLINES INC,In work,FALSE,,
DCA23LA465,ACC,193179,2023-09-28T09:57:00Z,Ann Arbor,Michigan,United States,,N804AN,FALSE,DirectorBrief,,Serious,0,1,0,,,42.2808,-83.743,BOEING,787-8,AIR,,,FALSE,2,SCHD,,121,None,,AMERICAN AIRLINES INC,In work,FALSE,,
DCA23LA462,ACC,193129,2023-09-25T04:00:00Z,Carribean Sea,,Jamaica,,N569JB,FALSE,DirectorBrief,,Serious,0,3,4,,,16.197641,-77.3898,AIRBUS,A320-232,AIR,,,FALSE,2,SCHD,,121,None,,JETBLUE AIRWAYS CORP,In work,FALSE,,
DCA23WA463,INC,193145,2023-09-24T19:30:00Z,Guayaquil,,Ecuador,,HC-CUH,FALSE,None,,None,0,0,0,,,0,0,BOEING,737,AIR,,,FALSE,,,,121,None,,Aeroregional,N/A,FALSE,,
DCA23WA460,INC,193116,2023-09-18T04:00:00Z,Melbourne,,Australia,,VN-A819,FALSE,None,,Serious,0,1,0,,,0,0,BOEING,787,AIR,,Melbourne Aerodrome,FALSE,,,,121,None,,Bamboo Airways,N/A,FALSE,,
DCA23LA445,ACC,193031,2023-09-07T03:32:00Z,Hebron,Kentucky,United States,,N37531,FALSE,DirectorBrief,2023-10-17T04:00:00Z,Serious,0,1,0,An inadvertent encounter with convectively induced turbulence (CIT) during descent.,,38.7509,-85.2676,BOEING,737-9,AIR,,,FALSE,2,SCHD,,121,None,VMC,UNITED AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=193031,3/27/2024 18:00
DCA23WA458,INC,193092,2023-09-01T04:00:00Z,Prague,,Czech Republic,,N175DN,FALSE,None,,None,0,0,0,,,0,0,BOEING,767-332,AIR,,,FALSE,2,,,121,None,,,N/A,FALSE,,
DCA23WA447,OCC,193048,2023-08-30T22:05:00Z,Honolulu,Hawaii,United States,,9V-DHC,FALSE,None,,,0,0,0,,,0,0,BOEING,777,AIR,,,FALSE,,,,121,None,,,N/A,FALSE,,
DCA23FA428,ACC,192959,2023-08-29T19:31:00Z,Atlanta,Georgia,United States,,N579DZ,FALSE,DirectorBrief,,Serious,0,4,13,,,34.095633,-83.834486,AIRBUS SAS,A350-941,AIR,,,FALSE,2,SCHD,,121,None,,Delta Air Lines,In work,FALSE,,
DCA23WA436,INC,192987,2023-08-21T15:39:00Z,Freeport,,Bahamas,,N920FX,FALSE,None,,,0,0,0,,,0,0,AEROSPATIALE/AERITALIA,ATR 42-300,AIR,,,FALSE,2,,,121,None,,Mountain Air Cargo,N/A,FALSE,,
DCA23FA417,ACC,192903,2023-08-21T00:15:00Z,Santa Ana,California,United States,,N516AS,FALSE,DirectorBrief,,None,0,0,0,,,33.675701,-117.86799,BOEING,737-890,AIR,KSNA,John Wayne/Orange County Airport,FALSE,2,SCHD,,121,Substantial,IMC,Alaska Airlines,In work,FALSE,,
