,event_type,event_date,tail_number,highest_injury_level,fatal_injury_count,serious_injury_count,minor_injury_count,probable_cause,latitude,longitude,airport_id,operator,make,aircraft_damage,model
3,ACC,2023-10-05,N977FD,none,0,0,0,NA,35.035301,-85.203796,CHA,federal express,boeing,Substantial,757
4,ACC,2023-09-30,N37560,none,0,0,0,NA,39.849312,-104.67382,DEN,united,boeing,Substantial,737
14,ACC,2023-08-21,N516AS,none,0,0,0,NA,33.675701,-117.86799,SNA,alaska,boeing,Substantial,737
17,INC,2023-08-11,"N7734H, N564HV",none,0,0,0,NA,32.730189,-117.17562,SAN,southwest,boeing,None,737
19,INC,2023-08-03,N649JB,none,0,0,0,NA,30.486167,-81.750781,JAX,jetblue,airbus,None,A320
20,ACC,2023-08-03,N676UA,none,0,0,0,NA,38.947456,-77.459929,IAD,united,boeing,Substantial,767
21,ACC,2023-07-29,N641UA,none,0,0,0,NA,29.989605,-95.344154,IAH,united,boeing,Substantial,767
29,INC,2023-06-28,N37516,none,0,0,0,NA,40.688689,-74.173724,EWR,united,boeing,Minor,737
30,ACC,2023-06-28,N955AT,none,0,0,0,NA,35.215366,-80.955103,CLT,delta,boeing,Substantial,717
35,ACC,2023-05-05,N921US,none,0,0,0,the captain’s failure to maintain the appropriate airspeed and pitch attitude during landing which resulted in a tailstrike.,35.215878,-80.950875,CLT,american,airbus,Substantial,A321
39,ACC,2023-03-24,N834US,none,0,0,0,NA,25.549499,-100.929,MIO,us airways,mcdonnell_douglas,Substantial,MD-88
40,ACC,2023-03-22,N1902U,none,0,0,0,the first officer's failure to maintain the correct airspeed and pitch attitude during landing which resulted in a tailstrike.,29.9778,-95.3057,IAH,united,airbus,Substantial,A320
47,INC,2023-02-16,"N976NN, C-FJQH",none,0,0,0,NA,27.3951,-82.5538,SRQ,american,boeing,None,737
50,INC,2023-02-04,"N7827A, N297FE",none,0,0,0,NA,30.1975,-97.6664,AUS,southwest,boeing,None,737
52,INC,2023-01-23,"N774UA, N145KA",none,0,0,0,NA,21.318701,-157.92199,HNL,united,boeing,None,777
53,INC,2023-01-13,"N914DU, N754AN",none,0,0,0,NA,40.6413,-73.7781,JFK,delta,boeing,None,737
70,ACC,2022-09-11,"N963WN, N909NN",none,0,0,0,southwest airlines flight crew’s misjudgment of the distance required to safely pass the american airlines airplane.,41.9803,-87.909,ORD,southwest,boeing,Minor,737
72,INC,2022-09-02,N787UA,none,0,0,0,NA,52.308762,4.7727,AMS,united,boeing,None,777
