event_type,event_date,tail_number,highest_injury_level,fatal_injury_count,serious_injury_count,minor_injury_count,probable_cause,latitude,longitude,airport_id,operator,make,aircraft_damage,model
INC,2023-11-30,N494HA,minor,0,0,1,reportunavailable,20.899501,-156.42973,OGG,hawaiian,boeing,Minor,717
ACC,2023-09-30,N37560,none,0,0,0,reportunavailable,39.849312,-104.67382,DEN,united,boeing,Substantial,737
ACC,2023-08-21,N516AS,none,0,0,0,reportunavailable,33.675701,-117.86799,SNA,alaska,boeing,Substantial,737
INC,2023-08-11,"N7734H, N564HV",none,0,0,0,reportunavailable,32.730189,-117.17562,SAN,southwest,boeing,no_damage,737
INC,2023-08-03,N649JB,none,0,0,0,reportunavailable,30.486167,-81.750781,JAX,jetblue,airbus,no_damage,A320
ACC,2023-08-03,N676UA,none,0,0,0,reportunavailable,38.947456,-77.459929,IAD,united,boeing,Substantial,767
ACC,2023-07-29,N641UA,none,0,0,0,reportunavailable,29.989605,-95.344154,IAH,united,boeing,Substantial,767
INC,2023-06-28,N37516,none,0,0,0,reportunavailable,40.688689,-74.173724,EWR,united,boeing,Minor,737
ACC,2023-06-28,N955AT,none,0,0,0,reportunavailable,35.215366,-80.955103,CLT,delta,boeing,Substantial,717
ACC,2023-05-05,N921US,none,0,0,0,captain failure maintain appropriate airspeed pitch attitude landing result tailstrike,35.215878,-80.950875,CLT,american,airbus,Substantial,A321
ACC,2023-03-24,N834US,none,0,0,0,reportunavailable,25.549499,-100.929,MIO,us airways,mcdonnell_douglas,Substantial,MD-88
ACC,2023-03-22,N1902U,none,0,0,0,officer failure maintain correct airspeed pitch attitude landing result tailstrike,29.9778,-95.3057,IAH,united,airbus,Substantial,A320
INC,2023-02-16,"N976NN, C-FJQH",none,0,0,0,reportunavailable,27.3951,-82.5538,SRQ,american,boeing,no_damage,737
INC,2023-02-04,"N7827A, N297FE",none,0,0,0,reportunavailable,30.1975,-97.6664,AUS,southwest,boeing,no_damage,737
INC,2023-01-23,"N774UA, N145KA",none,0,0,0,reportunavailable,21.318701,-157.92199,HNL,united,boeing,no_damage,777
INC,2023-01-13,"N914DU, N754AN",none,0,0,0,reportunavailable,40.6413,-73.7781,JFK,delta,boeing,no_damage,737
ACC,2022-09-11,"N963WN, N909NN",none,0,0,0,southwest airline flight crew misjudgment distance require safely pass american airlines airplane,41.9803,-87.909,ORD,southwest,boeing,Minor,737
INC,2022-09-02,N787UA,none,0,0,0,reportunavailable,52.308762,4.7727,AMS,united,boeing,no_damage,777
ACC,2022-08-06,N540US,none,0,0,0,reportunavailable,33.6407,-84.4277,ATL,delta,boeing,Substantial,757
ACC,2022-07-01,N480WN,serious,0,1,0,flight attendant receive injury undetermined reason firm landing,33.675701,-117.86799,SNA,southwest,boeing,no_damage,737
